Node, Local Clustering Coefficient 
1558,0.39285714285714285
1,1.0
6399,0.8
18125,0.8
3826,0.39705882352941174
2,1.0
5225,0.2912513842746401
5886,0.08623643632210165
6738,0.26955602536997886
7144,0.5166666666666667
10541,0.1744144144144144
18097,0.12210526315789473
20242,0.33548387096774196
3091,0.11403508771929824
3,1.0
4260,0.21428571428571427
7444,0.14619883040935672
4,1.0
9588,1.0
11492,0.4642857142857143
19002,0.19523809523809524
1571,0.8
5,1.0
5382,0.19230769230769232
11485,0.4642857142857143
12206,0.8
16221,0.19073083778966132
2190,0.3333333333333333
6,1.0
7725,0.2857142857142857
1931,1.0
7,0.3333333333333333
17731,0
20338,0.07894736842105263
841,1.0
8,0.17894736842105263
1453,0.23391812865497075
1946,1.0
5878,1.0
6253,0.13945578231292516
6609,1.0
7301,0.8
7389,0.6666666666666666
9025,0.25862068965517243
9487,1.0
12949,0.17564102564102563
13338,0.23671497584541062
13537,0.3888888888888889
15147,1.0
16135,0.6071428571428571
16164,0.28205128205128205
17096,1.0
19770,0.5054945054945055
20784,0.18181818181818182
21047,0.5052631578947369
223,0.13399778516057587
9,1.0
240,0.12903225806451613
6831,0.4696969696969697
11322,0.509090909090909
15050,0.2572463768115942
17139,0.5277777777777778
1393,0.058333333333333334
10,0.2
5516,0.14102564102564102
6588,0.4
11731,0.3333333333333333
12243,0
13309,0.6666666666666666
2042,0.17857142857142858
11,0.5
17042,1.0
17481,1.0
19676,0.6
3076,0.07004103967168263
12,1.0
4571,1.0
7665,1.0
13250,0.4230769230769231
16689,0.04881127708815485
16962,0.8214285714285714
19522,0.4696969696969697
14,1.0
13,0.6666666666666666
1071,0.3216374269005848
1312,0.25846153846153846
4529,1.0
6042,0.5428571428571428
8013,0.5256410256410257
9533,0.16784313725490196
10651,0.4411764705882353
18736,1.0
3260,0.13008130081300814
15,0.16666666666666666
4844,0.28104575163398693
5200,0.3333333333333333
5903,1.0
7105,0.6666666666666666
8826,0.3333333333333333
13463,0.2012987012987013
14490,0.27205882352941174
14806,0.12121212121212122
16769,0.09274193548387097
18645,0.3
20385,0.17857142857142858
1797,0.1816816816816817
16,0.6944444444444444
2467,1.0
3107,0.06618863761720904
6071,0.5751633986928104
8075,0.3333333333333333
9287,0.1383838383838384
10462,0.4696969696969697
12301,0.14035087719298245
14727,0.21637426900584794
6894,0.3333333333333333
17,1.0
7257,1.0
10257,0.3055555555555556
7043,1.0
18,1.0
14155,0.23809523809523808
20,0
19,0.16666666666666666
5087,0.11428571428571428
18528,0.3333333333333333
20135,0.1748768472906404
11267,0.2857142857142857
21,1.0
15743,0.38095238095238093
9113,1.0
22,0.6666666666666666
12920,0.6666666666666666
13039,0.3090909090909091
942,1.0
23,0.3055555555555556
3825,1.0
5178,1.0
5449,0.6
5721,0.3111111111111111
9560,0.1282051282051282
9750,0
16334,0.32142857142857145
19096,0.7
2390,1.0
24,1.0
9332,0.6703296703296703
9595,1.0
13069,0.43137254901960786
13516,1.0
18550,0.6703296703296703
18782,0.6703296703296703
21180,1.0
21181,1.0
4274,0.42857142857142855
25,1.0
17458,0.22591362126245848
1070,0.5333333333333333
26,0.6666666666666666
5702,0.3055555555555556
12192,0.4666666666666667
6214,1.0
27,0.4444444444444444
8146,0.3111111111111111
